USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
028450,99999,201705010000,174,10,14,***,***,*,*,*,2.2,**,**,**,**,67,**,**,**,8,31,31,1009.2,*****,984.1,***,***,*****,*****,*****,*****,35
028450,99999,201705010020,180,10,***,4,***,*,*,*,2.9,**,**,**,**,10,**,**,**,*,30,30,******,29.74,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010050,190,10,***,4,***,*,*,*,2.1,**,**,**,**,10,**,**,**,*,30,30,******,29.74,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010100,188,12,16,***,***,*,*,*,3.2,**,**,**,**,77,**,**,**,*,31,30,1009.1,*****,984.0,***,***,*****,*****,*****,*****,35
028450,99999,201705010120,200,13,***,2,OBS,*,*,*,1.8,**,**,**,**,72,**,**,**,*,30,30,******,29.74,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010150,200,14,***,2,OBS,*,*,*,2.1,**,**,**,**,10,**,**,**,*,30,30,******,29.74,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010200,200,15,20,***,***,*,*,*,1.7,**,**,**,**,61,**,**,**,*,31,31,1009.2,*****,984.1,***,***,*****,*****,*****,*****,35
028450,99999,201705010220,210,14,***,1,OBS,*,*,*,0.3,**,**,**,**,35,**,**,**,*,30,30,******,29.77,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010250,210,14,***,1,OBS,*,*,*,0.2,**,**,**,**,35,**,**,**,*,30,30,******,29.77,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010300,203,13,18,***,***,*,*,*,0.5,**,**,**,**,85,**,**,**,8,31,31,1009.6,*****,984.5,***,***,*****,*****,*****,*****,35
028450,99999,201705010320,210,15,***,1,OBS,*,*,*,1.3,**,**,**,**,10,**,**,**,*,30,30,******,29.77,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010350,210,14,***,2,OBS,*,*,*,1.8,**,**,**,**,10,**,**,**,*,30,30,******,29.77,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010400,199,14,19,***,***,*,*,*,3.2,**,**,**,**,71,**,**,**,*,31,31,1009.9,*****,984.8,***,***,*****,*****,*****,*****,35
028450,99999,201705010420,210,14,***,2,OBS,*,*,*,2.3,**,**,**,**,10,**,**,**,*,30,30,******,29.77,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010450,210,17,***,1,***,*,*,*,3.1,**,**,**,**,45,**,**,**,*,30,30,******,29.80,******,***,***,*****,*****,*****,*****,**
028450,99999,201705010500,213,13,22,***,***,*,*,*,1.6,**,**,**,**,61,**,**,**,*,31,31,1010.4,*****,985.3,***,***,*****,*****,*****,*****,35
028450,99999,201705010520,230,15,***,1,OBS,*,*,*,0.9,**,**,**,**,72,**,**,**,*,30,30,******,29.80,******,***,***,*****,*****,*****,*****,**
