USAF,YR--MODAHRMN,TEMP,MAX,MIN,Celsius
28450,201705010600,31.0,34.0,31.0,-0.6
28450,201705011800,42.0,44.0,30.0,5.6
28450,201705020600,41.0,42.0,35.0,5.0
28450,201705021800,37.0,45.0,36.0,2.8
28450,201705030600,37.0,37.0,33.0,2.8
28450,201705031800,37.0,39.0,37.0,2.8
28450,201705040600,35.0,37.0,30.0,1.7
28450,201705041800,43.0,48.0,35.0,6.1
28450,201705050600,48.0,48.0,39.0,8.9
28450,201705051800,41.0,54.0,41.0,5.0
28450,201705060600,31.0,41.0,30.0,-0.6
28450,201705061800,33.0,35.0,31.0,0.6
28450,201705070600,31.0,33.0,27.0,-0.6
28450,201705071800,28.0,34.0,28.0,-2.2
28450,201705080600,29.0,29.0,20.0,-1.7
28450,201705081800,31.0,35.0,28.0,-0.6
28450,201705090600,30.0,31.0,27.0,-1.1
28450,201705091800,32.0,39.0,30.0,0.0
28450,201705100600,30.0,32.0,27.0,-1.1
28450,201705101800,31.0,35.0,30.0,-0.6
28450,201705110600,27.0,31.0,25.0,-2.8
28450,201705111800,33.0,35.0,27.0,0.6
28450,201705120600,29.0,33.0,26.0,-1.7
28450,201705121800,35.0,38.0,29.0,1.7
28450,201705130600,32.0,35.0,27.0,0.0
28450,201705131800,36.0,37.0,30.0,2.2
28450,201705140600,34.0,36.0,25.0,1.1
28450,201705141800,35.0,37.0,34.0,1.7
28450,201705150600,31.0,35.0,27.0,-0.6
28450,201705151800,40.0,40.0,31.0,4.4
28450,201705160600,38.0,40.0,29.0,3.3
28450,201705161800,41.0,46.0,38.0,5.0
28450,201705170600,37.0,41.0,37.0,2.8
28450,201705171800,38.0,38.0,36.0,3.3
28450,201705180600,37.0,38.0,34.0,2.8
28450,201705181800,41.0,53.0,36.0,5.0
28450,201705190600,41.0,42.0,38.0,5.0
28450,201705191800,46.0,48.0,41.0,7.8
28450,201705200600,40.0,45.0,37.0,4.4
28450,201705201800,42.0,45.0,38.0,5.6
28450,201705210600,39.0,42.0,35.0,3.9
28450,201705211800,48.0,50.0,39.0,8.9
28450,201705220600,46.0,48.0,41.0,7.8
28450,201705221800,52.0,54.0,45.0,11.1
28450,201705230600,46.0,52.0,39.0,7.8
28450,201705231800,45.0,48.0,43.0,7.2
28450,201705240600,45.0,45.0,34.0,7.2
28450,201705241800,54.0,55.0,44.0,12.2
28450,201705250600,47.0,53.0,40.0,8.3
28450,201705251800,48.0,59.0,47.0,8.9
28450,201705260600,38.0,48.0,34.0,3.3
28450,201705261800,40.0,44.0,37.0,4.4
28450,201705270600,37.0,41.0,31.0,2.8
28450,201705271800,40.0,41.0,36.0,4.4
28450,201705280600,37.0,40.0,33.0,2.8
28450,201705281800,33.0,38.0,33.0,0.6
28450,201705290600,40.0,40.0,32.0,4.4
28450,201705291800,42.0,44.0,39.0,5.6
28450,201705300600,41.0,42.0,31.0,5.0
28450,201705301800,46.0,49.0,40.0,7.8
28450,201705310600,36.0,45.0,33.0,2.2
28450,201705311800,42.0,46.0,36.0,5.6
28450,201706010600,34.0,42.0,30.0,1.1
28450,201706011800,36.0,44.0,34.0,2.2
28450,201706020600,36.0,36.0,32.0,2.2
28450,201706021800,38.0,43.0,36.0,3.3
28450,201706030600,36.0,38.0,35.0,2.2
28450,201706031800,41.0,43.0,35.0,5.0
28450,201706040600,37.0,41.0,36.0,2.8
28450,201706041800,41.0,43.0,36.0,5.0
28450,201706050600,39.0,42.0,35.0,3.9
28450,201706051800,50.0,53.0,39.0,10.0
28450,201706060600,49.0,51.0,42.0,9.4
28450,201706061800,54.0,54.0,48.0,12.2
28450,201706070600,57.0,57.0,46.0,13.9
28450,201706071800,69.0,69.0,57.0,20.6
28450,201706080600,66.0,69.0,54.0,18.9
28450,201706081800,71.0,73.0,66.0,21.7
28450,201706090600,65.0,71.0,55.0,18.3
28450,201706091800,69.0,74.0,65.0,20.6
28450,201706100600,64.0,69.0,56.0,17.8
28450,201706101800,65.0,70.0,64.0,18.3
28450,201706110600,55.0,65.0,50.0,12.8
28450,201706111800,53.0,58.0,53.0,11.7
28450,201706120600,49.0,53.0,44.0,9.4
28450,201706121800,60.0,63.0,49.0,15.6
28450,201706130600,52.0,60.0,47.0,11.1
28450,201706131800,57.0,59.0,51.0,13.9
28450,201706140600,51.0,57.0,44.0,10.6
28450,201706141800,64.0,64.0,51.0,17.8
28450,201706150600,62.0,64.0,50.0,16.7
28450,201706151800,64.0,69.0,62.0,17.8
28450,201706160600,60.0,63.0,51.0,15.6
28450,201706161800,69.0,71.0,60.0,20.6
28450,201706170600,58.0,70.0,55.0,14.4
28450,201706171800,65.0,68.0,58.0,18.3
28450,201706180600,55.0,65.0,53.0,12.8
28450,201706181800,54.0,59.0,54.0,12.2
28450,201706190600,53.0,54.0,49.0,11.7
28450,201706191800,58.0,61.0,53.0,14.4
28450,201706200600,54.0,58.0,45.0,12.2
28450,201706201800,52.0,61.0,52.0,11.1
28450,201706210600,40.0,52.0,37.0,4.4
28450,201706211800,40.0,46.0,39.0,4.4
28450,201706220600,39.0,41.0,36.0,3.9
28450,201706221800,45.0,47.0,39.0,7.2
28450,201706230600,42.0,44.0,41.0,5.6
28450,201706231800,50.0,51.0,42.0,10.0
28450,201706240600,44.0,50.0,41.0,6.7
28450,201706241800,54.0,58.0,44.0,12.2
28450,201706250600,56.0,57.0,46.0,13.3
28450,201706251800,51.0,60.0,50.0,10.6
28450,201706260600,51.0,52.0,49.0,10.6
28450,201706270600,53.0,53.0,49.0,11.7
28450,201706271800,54.0,58.0,51.0,12.2
28450,201706280600,49.0,54.0,47.0,9.4
28450,201706281800,55.0,59.0,48.0,12.8
28450,201706290600,53.0,55.0,50.0,11.7
28450,201706291800,58.0,65.0,53.0,14.4
28450,201706300600,62.0,62.0,51.0,16.7
28450,201706301800,67.0,71.0,61.0,19.4
28450,201707010600,61.0,67.0,55.0,16.1
